source_sample_id,assistant_operational_verdict,error_type,review_note
R1261532_attack,ambiguous,mixed_or_conditional_polarity,杀球感受与整体正面评价混合且原文断句不清
R128_attack,ambiguous,mixed_or_conditional_polarity,高磅进攻明确正面但低磅表现负面
R1316601_attack,model_supported,silver_directional_polarity_noise,杀球友好且没有负面进攻描述
R1620267_comfort,silver_supported,suspected_cross_aspect_false_positive,评论讨论弹性保磅跑线但没有正面舒适描述
R240245_comfort,ambiguous,implicit_aspect_expression,顺手可能隐含舒适但未直接评价舒适度
R178273_control,model_supported,silver_aspect_omission,平抽指向精准和球路贴网明确支持控制
R704818_control,model_supported,silver_aspect_omission,指向好明确支持控制
R900277_control,model_supported,implicit_aspect_expression,稳定可合理视为隐含控制表现
R558763_durability,model_supported,dialect_aspect_omission,粤语表述用很久才断明确支持耐久
R565028_durability,silver_supported,suspected_cross_aspect_false_positive,负面内容是掉磅和跑线而非耐久断裂
R1246350_elasticity,silver_supported,model_directional_polarity_error,不清脆弹和粘球明确支持负面弹性
R1505347_elasticity,silver_supported,suspected_cross_aspect_false_positive,评论集中在价格控制和声音且无弹性描述
R1558116_elasticity,ambiguous,implicit_aspect_expression,泄力和无球速可能隐含负面弹性但也可能属于进攻
R169422_elasticity,silver_supported,comparison_target_confusion,正面弹性词描述的是另一款 BVS70
R35376_elasticity,ambiguous,implicit_aspect_expression,被动处理更好可能隐含弹性但没有直接表述
R440801_elasticity,model_supported,silver_aspect_omission,硬度弹度都满足明确支持正面弹性
R581979_elasticity,model_supported,silver_aspect_omission,反弹力不错明确支持正面弹性
R718321_elasticity,silver_supported,model_directional_polarity_error,多处明确写弹性不错和弹性好
R854446_elasticity,silver_supported,suspected_cross_aspect_false_positive,评论只明确评价进攻和耐久
R896903_elasticity,silver_supported,suspected_cross_aspect_false_positive,评论只明确评价声音滑线和耐久
R1237572_sound,silver_supported,suspected_cross_aspect_false_positive,评论没有声音描述
R25919_sound,model_supported,silver_aspect_omission,击球音清晰响彻球场明确支持正面声音
R799426_string_movement,ambiguous,longitudinal_mixed_evidence,早期不走线但后期明确易走线
R1516026_tension_retention,model_supported,silver_aspect_omission,包磅好且数月表现明确支持保磅
R937611_tension_retention,model_supported,silver_aspect_omission,包磅好被重复明确表述
R984431_tension_retention,ambiguous,comparative_mixed_polarity,保磅一般与同线径还不错同时出现
R1598620_value_for_money,model_supported,silver_aspect_omission,20 元球线最优解明确支持性价比
R732182_value_for_money,silver_supported,keyword_spillover,没什么钱是用户背景而非对球线价值的评价
