aspect,term_type,term,polarity,english_gloss,notes,source
attack,aspect_term,下压,,downward attack,core aspect vocabulary,current
attack,aspect_term,后场,,rear court power,core aspect vocabulary,current
attack,aspect_term,杀球,,smash / attack,core aspect vocabulary,current
attack,aspect_term,进攻,,attacking play,core aspect vocabulary,current
attack,aspect_term,重杀,,power smash,core aspect vocabulary,current
attack,negative_term,下压无力,negative,weak downward attack,domain phrase for negative sentiment,current
attack,negative_term,不够硬,negative,not crisp/stiff enough for attack,domain phrase for negative sentiment,current
attack,negative_term,不犀利,negative,not sharp enough,domain phrase for negative sentiment,current
attack,negative_term,后场吃力,negative,rear-court feels hard,Useful attack-negative cue,v5_addition
attack,negative_term,回弹不够,negative,not enough punch for attack,attack-related phrase,current
attack,negative_term,杀球无力,negative,weak smash power,domain phrase for negative sentiment,current
attack,negative_term,杀球没有,negative,smash less effective,domain phrase for negative sentiment,current
attack,negative_term,进攻一般,negative,average attack,domain phrase for negative sentiment,current
attack,negative_term,进攻乏力,negative,weak attack,domain phrase for negative sentiment,current
attack,negative_term,重杀无力,negative,weak power smash,domain phrase for negative sentiment,current
attack,positive_term,下压不容易失误,positive,reliable attack trajectory,domain phrase for positive sentiment,current
attack,positive_term,下压好,positive,good downward attack,domain phrase for positive sentiment,current
attack,positive_term,发力好,positive,good power transfer,domain phrase for positive sentiment,current
attack,positive_term,暴力,positive,powerful / aggressive,domain phrase for positive sentiment,current
attack,positive_term,暴力杀球,positive,violent / powerful smash,Explicit attack-positive phrase,v5_addition
attack,positive_term,杀得死,positive,strong killing power,domain phrase for positive sentiment,current
attack,positive_term,杀球爽,positive,satisfying smash feel,domain phrase for positive sentiment,current
attack,positive_term,点杀,positive,drop smash / point kill,High-frequency attack cue absent in current dictionary,v5_addition
attack,positive_term,爆破感,positive,explosive impact,domain phrase for positive sentiment,current
attack,positive_term,突击,positive,burst attack,Frequent attacking cue in community reviews,v5_addition
attack,positive_term,进攻利器,positive,weapon for attack,Direct attack endorsement,v5_addition
attack,positive_term,进攻好,positive,good attacking response,domain phrase for positive sentiment,current
attack,positive_term,进攻性,positive,attacking performance,domain phrase for positive sentiment,current
attack,positive_term,进攻性yyds,positive,excellent for attack,internet slang phrase,current
attack,positive_term,进攻需求,positive,meets attacking needs,domain phrase for positive sentiment,current
attack,positive_term,重杀猛,positive,strong power smash,domain phrase for positive sentiment,current
attack,positive_term,重炮,positive,heavy cannon-like attack,Strong attack metaphor,v5_addition
comfort,aspect_term,容错率,,forgiveness,core aspect vocabulary,current
comfort,aspect_term,手感,,feel / touch,core aspect vocabulary,current
comfort,aspect_term,柔和,,soft feel,core aspect vocabulary,current
comfort,aspect_term,细腻,,fine touch,core aspect vocabulary,current
comfort,aspect_term,舒服,,comfort,core aspect vocabulary,current
comfort,aspect_term,舒适,,comfort,core aspect vocabulary,current
comfort,aspect_term,震手,,arm/hand shock,core aspect vocabulary,current
comfort,negative_term,不舒服,negative,uncomfortable,domain phrase for negative sentiment,current
comfort,negative_term,伤手,negative,hurts the arm/hand,domain phrase for negative sentiment,current
